id,score,date
10009546-jetsam,50.0,2009-09-01
10009547-night_and_day,71.67,2011-11-17
10009552-julia,66.91,2011-11-24
10009557-ants,75.0,2008-02-15
10009583-fade_to_black,42.5,2008-03-07
1000959-angel_heart,78.12,2009-11-22
10009596-old_dogs,25.0,2011-11-17
10009598-surrogates,50.89,2011-11-16
10009623-hats_off,61.43,2008-08-22
10009624-promotion,52.89,2011-11-24
10009632-notorious,57.45,2009-02-13
10009635-soul_men,55.0,2011-11-17
10009636-igor,48.21,2011-11-16
10009638-one_week,100.0,2008-03-07
10009640-nights_and_weekends,58.12,2011-11-17
10009680-matador,53.67,2008-11-26
10009702-in_a_dream,62.75,2009-07-03
10009790-aquarium,62.5,2008-05-03
10009792-ball_don't_lie,25.0,2009-06-01
10009799-caller,34.58,2009-02-13
10009811-forgotten_woman,76.67,2008-08-08
10009823-sin_nombre,75.4,2011-11-18
10009828-house_of_sleeping_beauties,40.67,2009-01-08
10009847-cactus,53.33,2010-03-12
10009872-eden,56.11,2008-12-11
10009886-vice,55.0,2008-05-09
10009890-stone_angel,53.06,2011-11-17
10009912-on_the_rumba_river,61.0,2008-06-06
10009926-alvin_and_the_chipmunks_2,40.09,2010-01-05
10009929-a_christmas_tale,80.94,2014-12-10
10009938-delta,58.71,2010-03-10
10009980-rebound,36.0,2019-04-17
10009992-ripple_effect,37.5,2008-09-26
1000_journals,50.0,2008-08-01
1000_times_good_night,56.18,2015-08-07
10010011-harold,41.88,2011-11-17
10010038-family_motel,75.0,2008-06-20
10010066-push,40.89,2011-11-24
10010077-felon,58.21,2011-11-17
10010084-wherever_you_are,36.33,2009-06-11
10010090-la_luna,50.0,2008-10-18
10010113-forgiveness,58.33,2008-10-18
10010114-coyote,61.25,2008-10-17
10010131-scar,20.0,2010-10-07
10010141-cass,46.0,2008-08-01
10010150-unborn,35.72,2011-11-17
10010153-bitch_slap,32.5,2010-01-10
10010155-forever_strong,25.67,2011-11-24
10010208-chocolate,61.5,2009-03-12
10010214-fireproof,35.62,2008-10-18
10010229-dostana,55.0,2019-01-31
10010237-tokyo,66.67,2011-11-18
10010249-the_garden,59.38,2009-05-21
10010316-all_of_us,65.0,2008-09-19
10010329-splinter,66.11,2011-11-17
10010331-ascent,90.0,2022-03-01
10010334-leaves_of_grass,70.62,2010-09-28
10010335-rab_ne_bana_di_jodi,60.0,2019-01-31
10010350-restless,44.17,2011-09-16
10010400-fraude_mexico_2006,80.0,2008-10-10
10010415-antarctica,57.5,2009-01-05
10010418-whore,40.0,2008-10-18
10010458-proposal,48.21,2011-11-17
10010505-market,66.67,2010-04-16
10010518-who_do_you_love,48.44,2010-04-29
10010552-gigantic,45.62,2011-11-18
10010561-dirty_country,50.0,2008-11-10
10010568-fuel,64.69,2009-09-18
10010571-hush,45.0,2009-03-13
10010596-paradise,100.0,2009-09-23
10010610-summer,54.0,2008-12-05
10010658-orphan,56.36,2011-11-17
10010662-my_sisters_keeper,54.26,2009-07-31
10010667-hangover,68.79,2009-06-19
10010668-stepfather,44.79,2010-08-12
10010675-departures,70.09,2011-11-17
10010680-boogie,62.5,2009-01-16
10010682-hansel_and_gretel,52.5,2009-03-27
10010692-ballerina,59.58,2009-05-01
10010694-season_of_the_witch,37.84,2011-11-24
10010703-shuttle,58.5,2011-11-17
10010718-el_camino,75.0,2009-01-16
10010722-rumba,70.23,2011-11-18
10010760-miss_march,17.89,2009-09-11
10010782-american_affair,33.06,2011-11-17
10010785-grace,54.5,2009-08-14
10010787-endgame,48.75,2009-11-04
10010789-red_baron,41.07,2010-03-18
10010919-objective,50.0,2009-03-13
10010932-memorial_day,26.25,2011-11-17
10010940-happy_tears,41.0,2010-02-19
10010944-missing_person,66.67,2009-12-25
10010945_heart_of_fire,58.33,2009-09-25
10010957-polanski_unauthorized,20.0,2009-02-13
10010965-rage,62.5,2009-09-27
10010972-mammoth,44.17,2011-11-18
10011003-crude,74.2,2011-11-17
10011016-messenger,74.72,2016-04-12
10011045-understudy,55.0,2012-11-01
10011047-toyos_camera,60.0,2009-03-06
10011050-lake_mungo,70.0,2009-06-12
10011079-country_teacher,68.85,2011-11-17
10011130-polytechnique,78.75,2011-06-29
1001115-apartment,91.94,2015-02-23
10011154-golden_boys,31.5,2009-04-17
10011180-autumn,50.0,2009-03-27
10011235-fame,47.41,2010-08-12
10011243-tormented,52.78,2009-05-28
10011253-audition,78.12,2009-04-17
10011262-outrage,70.39,2012-01-06
10011269-only,62.5,2009-04-24
10011284-skin,61.2,2010-08-08
10011295-samson_and_delilah,81.41,2010-11-19
10011303-helen,51.5,2013-01-22
10011304-thirst,66.1,2011-11-18
1001131-apple,25.0,2004-08-24
10011335-vengeance,72.5,2010-12-18
10011379-new_world_order,34.17,2009-05-22
10011388-blood_the_last_vampire,32.73,2011-11-17
10011435-shrink,47.17,2011-11-16
10011457-ong_bak_2_2009,49.44,2009-11-20
10011460-lonesome,50.0,2010-07-06
10011489-bananas,58.75,2010-04-22
10011494-last_ride,69.29,2012-07-06
10011553-surviving_crooked_lake,56.67,2010-07-06
10011582-tron_legacy,55.43,2011-01-03
10011587-rocksteady_the_roots_of_reggae,65.0,2010-04-22
10011597-luck,40.0,2019-04-24
10011647-canyon,29.38,2009-12-07
10011688-black,62.5,2009-08-28
10011691-sheltered_life,50.0,2009-08-28
10011699-leslie_my_name_is_evil,38.75,2010-05-21
10011721-broken_hill,55.0,2009-09-23
10011735-beautiful_life,34.17,2011-05-19
10011736-suck,37.5,2010-09-02
10011761_wanted,50.0,2019-04-18
10011774-chloe,53.53,2018-08-23
10011818-labor_day,24.17,2009-10-30
10011846-nobodys_perfect,73.12,2010-09-01
10011851-blue,20.0,2019-04-18
