index,id,creationDate
28536,1002332-big_heat,2017-11-24
79106,1002352-big_sleep,2014-08-13
177548,1002353-big_sleep,2018-06-15
188003,1002361-big_town,2021-08-17
148815,1002448-birds,2015-09-29
210801,1002476-black_beauty,2004-10-23
208761,1002497-black_hole,2004-10-23
5880,1002512-black_rain,2001-08-01
3537,1002531-black_widow,2000-01-01
19615,1002540-blackmail,2019-01-10
112529,1002571-blind_date,2022-05-09
92030,1002734-bluebeard,2004-10-23
64084,1002830-body_heat,2009-04-30
24679,1002907-border,2021-08-06
74530,1002930-born_yesterday,2020-03-23
133911,1002939-boston_strangler,2004-10-23
233146,1002947-bounty,2004-10-23
202320,1002993-boys_from_brazil,2009-03-27
111221,1003017-brainstorm,2004-10-23
201466,1003033-brazil,2008-10-16
80009,1003060-breakout,2004-10-23
193827,1003066-breathless,2004-08-30
2178,1003076-brians_song,2010-12-22
61849,1003094-brief_encounter,2015-11-09
90289,1003098-bright_lights_big_city,2003-05-20
74333,1003120-broken_blossoms,2011-08-08
231701,1003136-brotherhood,2005-05-09
222594,1003276-burglar,2000-01-01
55617,1003296-bus_stop,2004-06-30
64476,1003309-buster,2000-01-01
170324,1003318-butch_cassidy_and_the_sundance_kid,2006-05-10
59627,1003339-bye_bye_birdie,2015-08-01
193685,1003399-calamity_jane,2016-04-10
158446,1003441-camille,2004-01-28
202297,1003492-cape_fear,2003-02-07
14615,1003499-captain_blood,2012-02-10
150810,1003617-carny,2004-10-23
140356,1003625-carrie,2015-11-03
115474,1003707-casablanca,2015-02-22
225871,1003722-casino_royale,2008-10-13
14687,1003746-cat_and_mouse,2008-01-15
24923,1003757-cat_people,2020-12-30
104669,1003758-cat_people,2007-09-26
227788,1003854-champ,2005-05-09
43240,1003857-champion,2006-03-25
134670,1003883-charade,2020-04-12
232559,1003953-charly,2005-12-21
58303,1003972-checking_out,2000-01-01
218429,1004110-chosen,2019-05-08
108446,1004151-christmas_story,2013-12-04
128580,1004177-cimarron,1931-01-26
213262,1004323-clean_slate,2004-10-23
197481,1004329-cleopatra,2002-12-15
57976,1004330-cleopatra,2013-07-11
45897,1004369-cloak_and_dagger,2020-01-24
1933,1004463-college,2015-04-16
217886,1004485-colors,2003-05-20
43312,1004502-coma,2005-05-09
138625,1004552-comfort_and_joy,2016-02-25
200545,1004559-coming_home,2004-10-23
192216,1004567-commando,2003-05-21
19958,1004703-convoy,2017-05-12
20638,1004785-count_of_monte_cristo,2003-08-01
225699,1004790-countdown,2018-07-06
102772,1004832-cover_girl,2012-11-28
78979,1004906-creature_from_the_black_lagoon,2012-10-11
67818,1004941-crime_story,2000-01-01
215303,1004985-cross_my_heart,2022-05-10
213956,1004995-crossroads,2000-01-01
16965,1005107-doa,2002-10-03
71003,1005108-doa,2001-04-17
57566,1005155-damned,2018-07-02
141134,1005199-dangerous_liaisons,2008-02-08
105219,1005276-dark,2004-11-13
50839,1005339-dawn_of_the_dead,2004-11-10
128967,1005360-day_of_the_dead,2013-09-18
108846,1005371-day_the_earth_stood_still,2008-12-02
125989,1005399-dead_heat,2013-05-13
12322,1005405-dead_of_night,2008-10-07
186506,1005492-death_before_dishonor,2000-01-01
200149,1005512-death_in_venice,2004-10-23
117241,1005865-dillinger,2004-10-23
27183,1005875-dinner_at_eight,2005-03-02
201465,1005967-distant_thunder,2000-01-01
76317,1005973-diva,2011-11-18
26012,1006037-doctor_zhivago,2015-12-01
201125,1006042-dodge_city,2005-04-22
52048,1006068-dolls,2000-01-01
132839,1006206-dr_jekyll_and_mr_hyde,2009-07-06
3729,1006207-dr_jekyll_and_mr_hyde,2008-12-12
163310,1006208-dr_jekyll_and_mr_hyde,2010-08-02
157589,1006223-how_the_grinch_stole_christmas,2003-06-20
87403,1006234-dracula,2002-09-26
55999,1006236-dracula,2002-11-27
209802,1006250-dragnet,2017-08-16
230597,1006287-dream_team,2000-01-01
48306,1006293-dreams,2013-07-23
7244,1006299-dressed_to_kill,2006-09-02
48427,1006345-duel,2022-09-22
11798,1006364-dune,2021-09-24
20534,1006416-east_of_eden,2005-12-06
217853,1006425-easy_money,2012-07-13
58944,1006438-eaten_alive,2006-09-27
69936,1006476-oedipus_rex,2007-10-23
183360,1006510-electric_dreams,2009-05-28
189245,1006527-elephant_man,2020-03-12
163838,1006646-enforcer,2004-10-23
28557,1006717-escape_from_new_york,2018-10-25
208715,1006872-exodus,2005-05-09
107918,1006901-eye_for_an_eye,2000-01-01
37095,1006917-eyewitness,2004-10-23
151242,1006975-fade_to_black,2004-10-23
135442,1007003-fahrenheit_451,2003-05-20
180133,1007073-fandango,2003-11-01
173273,1007077-fanny,2003-10-09
143214,1007105-far_from_the_madding_crowd,2015-03-15
198726,1007107-far_north,2000-01-01
40575,1007110-farewell_my_lovely,2005-05-09
102775,1007141-fatal_attraction,2003-05-20
66482,1007154-father_of_the_bride,2003-05-20
109854,1007195-feds,2007-08-14
21003,1007230-fever_pitch,2008-04-08
9427,1007329-final_option,2018-06-19
162629,1007517-flash_gordon,2020-08-10
92905,1007522-flashback,2021-08-18
36002,1007600-fly,2013-09-18
103856,1007602-fly,2013-08-04
178047,1007657-footloose,2016-02-17
182031,1007691-force_of_evil,2006-08-08
125160,1007739-foul_play,2005-05-09
37520,1007796-framed,2018-07-10
232293,1007818-frankenstein,2023-01-18
115560,1007832-frantic,2010-02-19
203144,1007839-freaky_friday,2018-07-02
72772,1007910-fright_night,2022-09-14
23336,1007931-from_here_to_eternity,2019-01-29
172164,1007977-fun_with_dick_and_jane,2018-07-02
95212,1007990-funny_farm,2003-04-16
3604,1008015-fury,2006-09-04
16078,1008074-gallipoli,2017-07-07
7899,1008080-gambler,2018-04-29
26640,1008085-game_of_death,2001-09-26
99316,1008166-general,2022-05-27
136185,1008243-getaway,2005-05-09
199421,1008407-gloria,2004-08-30
200396,1008415-glory,2022-07-26
61182,1008623-goodbye_girl,2005-02-27
56093,1008799-great_gatsby,2013-03-06
153439,1008852-great_race,2010-12-28
3865,1008924-greed,2002-01-06
152741,1008931-green_berets,2014-11-17
85684,1008942-greetings,2011-03-07
169054,1009027-gullivers_travels,2003-06-19
38724,1009055-gunfighter,2018-05-24
1602,1009058-gung_ho,2003-05-20
208722,1009096-hairspray,2015-09-03
14388,1009113-halloween,2018-10-20
118032,1009123-hamlet,2016-02-23
84657,1009131-hand,2021-08-11
77257,1009211-hard_times,2004-10-23
42375,1009219-hardcore,2007-03-24
214799,1009277-haunting,2020-09-08
217503,1009293-hawaii,2005-05-09
131752,1009399-heat,2000-01-01
18809,1009425-heaven,2000-01-01
26510,1009427-heaven_can_wait,2004-10-23
98005,1009434-heavy_petting,2000-01-01
217463,1009456-hell_in_the_pacific,2005-05-09
141126,1009470-hells_angels_on_wheels,2005-04-02
118576,1009548-heroes,2021-06-10
25253,1009583-hidden_fortress,2022-06-28
202344,1009601-high_hopes,2022-03-16
82719,1009645-hills_have_eyes,2003-09-10
13410,1009649-hindenburg,2004-10-23
26980,1009716-hobsons_choice,2009-02-23
23039,1009830-home_of_the_brave,2020-11-17
101695,100_arabica,2000-01-01
6134,100_bloody_acres_2013,2015-07-09
14724,100_days_to_live,2021-05-03
87739,100_off_a_recession_era_romance,2012-07-05
230785,100_percent_wolf,2020-10-08
11217,100_proof,2016-02-22
150008,100_rifles,2006-05-06
152245,100_streets,2017-01-12
87456,100_vaginas,2019-03-07
168364,100_voices_a_journey_home,2010-09-26
156067,100_years_of_men_in_love,2022-03-23
125613,1010004-hound_of_the_baskervilles,2015-05-28
223061,1010030-house_of_wax,2007-09-24
6659,1010174-hud,2003-11-28
163422,1010230-hunter,2010-10-29
93496,1010240-hurricane,2000-01-01
102643,1010249-hustle,2004-10-23
49255,1010263-i_the_jury,2015-08-17
87342,1010307-i_love_you,2018-11-06
41799,1010417-imitation_of_life,2023-03-31
186819,1010431-importance_of_being_earnest,2019-01-25
185208,1010440-impulse,2000-01-01
35785,1010448-in_cold_blood,2015-09-11
165379,1010644-intolerance,2013-11-05
162840,1010678-invasion_of_the_body_snatchers,2022-05-01
39459,1010679-invasion_of_the_body_snatchers,2001-04-17
149099,1010685-invasion_usa,2000-01-01
200308,1010695-invisible_man,2011-10-14
159154,1010793-its_alive,2019-05-24
118999,1010824-ivanhoe,2006-03-25
10865,1010939-jason_and_the_argonauts,2012-11-27
124289,1010978-jazz_singer,2003-07-31
127069,1010979-jazz_singer,2004-10-23
38288,1011028-jesus_christ_superstar,2008-03-19
187913,1011295-judex,2014-06-16
170504,1011329-julius_caesar,2004-10-23
178501,1011338-jungle_book,2010-12-28
144757,1011392-kansas,2000-01-01
158746,1011558-killer_elite,2005-05-09
195294,1011573-killers,2003-03-09
70015,1011605-king_and_i,2004-09-03
44892,1011615-king_kong,2021-04-03
130720,1011617-king_kong,2004-10-23
73280,1011623-king_of_comedy,2010-01-25
63410,1011626-king_of_kings,2008-03-19
1704,1011638-king_solomons_mines,2010-12-24
49311,1011639-king_solomons_mines,2005-11-08
60388,1011813-lady_vanishes,2009-03-27
43370,1011818-ladykillers,2020-10-23
230403,1011974-last_resort,2000-01-01
73000,1011976-last_rites,2000-01-01
112817,1012007-laura,2012-02-23
206443,1012162-legacy,2021-07-31
162433,1012164-legend,2019-03-27
20761,1012264-letter,2021-02-12
157040,1012298-lies,2001-02-27
54155,1012362-like_father_like_son,2020-04-22
68622,1012370-lilies_of_the_field,2004-07-07
213310,1012386-lion_in_winter,2016-10-07
